fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2756-001.tif,701-151-005-2756-001,A Doctor Examining a Soldier,,,Author,World War (1939-1945);Soldiers;Physician and patient;Armed Forces--Medical examinations,,Poland. Polskie Siły Zbrojne,,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,A doctor measures the heartbeat and blood pressure of a soldier. The doctor is using a stethoscope and a blood pressure cuff on him.,Censorship No. 228241;No. 775;AZ,still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2769-001.tif;701-151-005-2769-002.tif;701-151-005-2769-003.tif;701-151-005-2769-004.tif,701-151-005-2769-001,Laboratory of the Polish Red Cross,,,Author,World War (1939-1945);Laboratories;Laboratories--Equipment and supplies;Volunteers;Medicine,,Polski Czerwony Krzyż,England--London,1939/1945,,,,,"Laboratories of the Polish Red Cross. Photo 001 shows two volunteers testing chemicals through titration. In photo 002, a volunteer weighing some substance. Photo 003 shows the setup of an outdoor laboratory. Some chemical equipment is seen in photo 004.",,still image,photographs,black-and-white photographs,17x22 cm; 16x21 cm; 22x17 cm; 16x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2770-001.tif,701-151-005-2770-001,Stockroom of the Polish Red Cross,,,Author,World War (1939-1945);Volunteers;Stores or stock-room keeping;Medicine;War relief,,Polski Czerwony Krzyż,England--London,1939/1945,,,,,Three volunteers of the Polish Red Cross are in a stockroom. They are preparing medicine and doing inventory.,,still image,photographs,black-and-white photographs,16x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2775-001.tif,701-151-005-2775-001,Management of the Polish YMCA,,,Author,World War (1939-1945),"Majchrzak, Henryk",Polish YMCA,Scotland--Edinburgh,1939/1945,,1943-01,"Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service",,"The staff of the Polish YMCA in Great Britain. Henryk Majchrzak, the director of the YMCA, is leaning on the mantle.","Numbers on the back: 1, N877;""From Paul Super, Room 705, 347 Madison Ave, New York City""",still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2916-001.tif;701-151-005-2916-002.tif,701-151-005-2916-001,Sosnkowski During Aviation Inspection (UK),,,Author,"World War (1939-1945);Generals;Tents;Military uniforms;Air pilots, Military","Sosnkowski, Kazimierz",Poland. Polskie Siły Zbrojne;Great Briain. Royal Air Force,Great Britain,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,Photo 001 shows the Polish commander-in-chief speaking with a non-commissioned commander who was shot down three times during the war. General Sosnkowski walks with fellow soldiers during his time visiting the Polish Units of the Tactical Air Force in Great Britain in Photo 002.,"Numbers on the back: 75, I, II, 69, 14;""Passed by the censor 32445D""",still image,photographs,black-and-white photographs,15x20 cm; 17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-4883-001.tif,701-151-005-4883-001,Minister A. Eden Speaks at the Celebration of the 1st Anniversary of the Death of General Sikorski,,,Author,World War (1939-1945);Anniversaries;Memorials;Generals;Speeches;Busts,"Eden, Anthony",Rzeczpospolita Polska (Government-in-exile),England--London,1939/1945,,1944-07-04,"Republic of Poland, Ministry of Information, Photo Service",,"A meeting to commemorate General Sikorski on the first anniversary of his death was held in London. The Polish President, members of the Polish government, and representatives of the Allies were present at the meeting. Standing at the side of a bust of General Sikorski, Mr. Anthony Eden, Britain's Foreign Minister, pays tribute to the Polish leader in an address at the meeting.","Numbers on the back: 4, 2613-5",still image,photographs,black-and-white photographs,21x15 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2693-001.tif;701-151-005-2693-002.tif;701-151-005-2693-003.tif;701-151-005-2693-004.tif;701-151-005-2693-005.tif;701-151-005-2693-006.tif,701-151-005-2693-001,Duch During Inspection (Scotland),,,Author,World War (1939-1945);Soldiers;Generals;Military uniforms,"Duch, Bolesław Bronisław",Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,,,"General Duch's military inspection. In photos 001 to 005, general Duch is talking with the soldiers during his inspection. In photo 006, the soldiers observe something that is burning and smoking on the road.","Numbers on the back: 228-8, 9, 10, 228-5, 8, 229-1, 228-2, 7, 6, 229-4, 5, 229-9",still image,photographs,black-and-white photographs,16x21 cm; 16x21 cm; 16x21 cm; 16x21 cm; 16x21 cm; 16x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2764-001.tif;701-151-005-2764-002.tif,701-151-005-2764-001,Interior of the Polish Red Cross Offices,,,Author,World War (1939-1945);Volunteers;War relief,,Polski Czerwony Krzyż,England--London,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"The photos show the general office of the Polish Red Cross in London. Photo 001 shows the interior of the office. In photo 002, some of the workers are talking with soldiers.",Numbers on the back: Nr. 55,still image,photographs,black-and-white photographs,16x21 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2521-001.tif;701-151-005-2521-003.tif;701-151-005-2521-004.tif;701-151-005-2521-005.tif,701-151-005-2521-001,Polish Army Camp in Scotland (2),,,Author,Tents;World War (1939-1945);Military training camps;Forests and forestry;Trucks;Soldiers,,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna",,Photos of a military training camp in Scotland. The soldiers lived in tents that were either located in fields or in the forest.,"R765;Numbers on the back: 358, 1, 432, 16;Velox",still image,photographs,black-and-white photographs,7x9 cm; 7x11 cm; 7x11 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2521-007.tif;701-151-005-2521-013.tif;701-151-005-2521-014.tif,701-151-005-2521-007,Polish Army Camp in Scotland (1),,,Author,"World War (1939-1945);Physical education and training, Military;Military training camps;Soldiers;Tents;Backpacks",,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,The military training camps were located in forests. The soldiers lived in tents during their training. The photos show men standing in front of them.,No. 708;Censorship No. 207400;Numbers on the back: 16571-16,still image,photographs,black-and-white photographs,12x17 cm; 13x10 cm; 21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2544-014.tif;701-151-005-2544-015.tif,701-151-005-2544-014,King George VI Visiting the Polish Army in Scotland (10),,,Author,World War (1939-1945);Coasts;Beaches;Soldiers;Generals;Kings and rulers;Queens,"Sikorski, Władysław;King George VI;Queen Elizabeth",Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,1941-03,"Republic of Poland, Ministry of Information, Photo Service",,"King George VI, Queen Elizabeth, and General Sikorski visit one of the coast sectors guarded by Polish troops.","Numbers on the back: D10, 17, 159, 14, 161, 186, 160 ; No. 292, No. 293",still image,photographs,black-and-white photographs,17x12 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2544-005.tif;701-151-005-2544-025.tif;701-151-005-2544-026.tif;701-151-005-2544-027.tif,701-151-005-2544-005,King George VI Visiting the Polish Army in Scotland (8),,,Author,World War (1939-1945);Queens;Kings and rulers;Generals;Soldiers;Military uniforms,"Sikorski, Władysław;King George VI;Queen Elizabeth",Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,1941-03,,,"The photos are close-ups of General Sikorski, Queen Elizabeth, and King George VI.","Words on the back: Velox, For ; Numbers on the back: 76, I",still image,photographs,black-and-white photographs,6x9 cm; 6x9 cm; 6x9 cm; 6x9 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2544-006.tif;701-151-005-2544-007.tif;701-151-005-2544-008.tif,701-151-005-2544-006,King George VI Visiting the Polish Army in Scotland (7),,,Author,"Military ceremonies, honors, and salutes;Emblems;World War (1939-1945);Queens;Generals;Soldiers;Kings and rulers;Military uniforms","Sikorski, Władysław;King George VI;Queen Elizabeth",Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,1941-03,"Republic of Poland, Ministry of Information, Photo Service, Wojskowa Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,"The photos show Queen Elizabeth, King George VI, and General Sikorski watching a soldier parade. The three are standing on a platform that is decorated with the Polish emblem and plants.","23 JUL 1943 (Censorship Date) ; Boguslawski pplk. dypl. - Lt. Col. ; Numbers on the back: 1251, 18, D10, 157, 156, II, 6, 5, Wiz-142 ; No. 296",still image,photographs,black-and-white photographs,10x13 cm; 9x12 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2468-001.tif;701-151-005-2468-002.tif;701-151-005-2468-003.tif;701-151-005-2468-004.tif;701-151-005-2468-005.tif;701-151-005-2468-006.tif,701-151-005-2468-001,Polish infantry marching,,,Author,World War (1939-1945);Infantry;Military uniforms;Firearms;Bayonets;Marches,,Poland. Polskie Siły Zbrojne,,1939/1945,,1939-09,Wydział ilustracji prasowej P. A. T.,,"The photos show the Polish infantry marching. In the photos, the soldiers march with firearms or bayonets. The weapons are held over the right shoulder and behind the head.","Numbers on the back: R 3, 40, 50, 20056-2, 38/8, 321.12, 21377-3, 38/4",still image,photographs,black-and-white photographs,13x18 cm; 13x18 cm; 17x10 cm; 26x21 cm; 10x8 cm; 26x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2493-001.tif;701-151-005-2493-002.tif;701-151-005-2493-003.tif;701-151-005-2493-004.tif;701-151-005-2493-005.tif;701-151-005-2493-006.tif,701-151-005-2493-001,Exercises of the Polish Army in France,,,Author,"World War (1939-1945);Military training camps;Soldiers;Horses;Firearms;Carriages and carts;Motorcycles;Military uniforms;Armored vehicles, Military",,Poland. Polskie Siły Zbrojne,France,1939/1945,,1939,"C/O Polish American Film Corp., 1541 W. Division St., Chicago, IL",,"Photo 001 shows soldiers in tanks driving down a road in the forest. In photo 002, soldiers are riding on motorcycles. Photo 003 shows the soldiers riding a carriage in the forest. The soldiers are at a pit-stop in photo 004. In photos 005 and 006, the soldiers are training with their rifles.","Words on the back: Chicago, Franciszek Dzga, Kodak;Numbers on the back: III, 122, 117, 96.0",still image,photographs,black-and-white photographs,10x16 cm; 10x16 cm; 10x15 cm; 10x16 cm; 10x15 cm; 10x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2495-001.tif;701-151-005-2495-002.tif;701-151-005-2495-003.tif;701-151-005-2495-004.tif;701-151-005-2495-005.tif,701-151-005-2495-001,Branches of the Polish Army in France,,,Author,World War (1939-1945);Soldiers;Military uniforms;Rifles,,Poland. Polskie Siły Zbrojne,France,1939/1945,,1940,"République de Pologne, Centre d'Information et de Documentation, Service Photographique",,"The photos show the Polish Army in France. In all of the photos, the soldiers are standing at guard.","No. 21, No. 397;Censorship No. 145402;Numbers on the back: 23158, E-6-5, III, 121, 17;Words on the back: Kodak",still image,photographs,black-and-white photographs,15x10 cm; 21x26 cm; 12x17 cm; 10x16 cm; 13x18 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2506-001.tif;701-151-005-2506-002.tif;701-151-005-2506-003.tif;701-151-005-2506-004.tif,701-151-005-2506-001,Polish Independent Highland Brigade Sailing to Narvik (Bohusz-Szyszko),,,Author,World War (1939-1945);Soldiers;Generals;Ships;Military uniforms,"Bohusz-Szyszko, Zygmunt",Poland. Polskie Siły Zbrojne. Samodzielna Brygada Strzelców Podhalańskich,Norway--Narvik,1939/1945,,1940,"Republic of Poland, Ministry of Information, Photo Service",,"Polish soldiers on their way to Norway. Photo 001 shows the soldiers sitting on the deck of the ship listening to a record player. All of the soldiers are seen in photo 002. In photo 003, two soldiers are looking at the water while sitting in chairs. Photo 004 is a photo of General Bohusz-Szyszko.","Numbers on the back: 11, A-6-6, V, R-1517, 713",still image,photographs,black-and-white photographs,12x17 cm; 7x9 cm; 8x12 cm; 13x10 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-027.tif;701-151-005-2516-033.tif;701-151-005-2516-034.tif;701-151-005-2516-035.tif;701-151-005-2516-036.tif,701-151-005-2516-027,Training of the Parachute Brigade (8),,,Author,"World War (1939-1945);Military training camps;Soldiers;Physical education and training, Military",,"Poland. Polskie Siły Zbrojne;Great Britain. Army. Polish Parachute Brigade, 1st",,1939/1945,,,"Polish Government Information Center, Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service, M. J. Mazynski, 580 South Marengo Avenue, Pasadena, California, Republic of Poland, Ministry of Information, Photo Service",,"Parachute troops training on wooden equipment and obstacles. The photos show the men running, climbing, and crouching as they undergo training.","Censorship No. 228224, Censorship No. 228242;27 OCT 1942 (Censorship Date);28 OCT 1942 (Censorship Date);7 DEC 1942 (Censorship Date);Numbers on the back: XIII, E-5-12, 17295-12, 813, N524, 6., 4., N525, 1, E-5-11, 5., N520, k.6., f.50.;No. 804, No. 801;Boguslawski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,12x17 cm; 8x12 cm; 17x12 cm; 12x9 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-030.tif;701-151-005-2516-032.tif;701-151-005-2516-037.tif;701-151-005-2516-038.tif;701-151-005-2516-039.tif,701-151-005-2516-030,Training of the Parachute Brigade (7),,,Author,"Explosions;World War (1939-1945);Soldiers;Military training camps;Firearms;Physical education and training, Military",,"Poland. Polskie Siły Zbrojne;Great Britain. Army. Polish Parachute Brigade, 1st",,1939/1945,,,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service, Republic of Poland, Ministry of Information, Photo Service, Polish Government Information Center",,The photos show explosions that occured during paratroop training sessions.,"Boguslawski pplk. dypl. - Lt. Col.;Numbers on the back: 17295-5, 17295-2, k.6, f.7., 814, 10., N521, 813, N526, 7., N522, 9., 1, 8., N520",still image,photographs,black-and-white photographs,16x12 cm; 9x12 cm; 12x9 cm; 9x12 cm; 9x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-029.tif;701-151-005-2516-040.tif;701-151-005-2516-042.tif;701-151-005-2516-043.tif;701-151-005-2516-044.tif,701-151-005-2516-029,Ćwiczenia brygady spadochronowej (6),,,Author,"Rock climbing;World War (1939-1945);Parachute troops;Military training camps;Firearms;Physical education and training, Military",,"Poland. Polskie Siły Zbrojne;Great Britain. Army. Polish Parachute Brigade, 1st",Scotland,1939/1945,,1944,"Republic of Poland, Ministry of Information, Photo Service, Polish Government Information Center",,"Parachute troop training on the rocks. Photos 029 and 040 show the soldiers making their way to the climbing location. Photos 042, 043, and 044 show the soldiers climbing the rocks with the help of ropes.","No. 802, No. 782, No. 778, No. 781, No. 779, No. 780;Censorship No. 228219, Censorship No. 228215, Censorship No. 228253, Censorship No. 228216, Censorship No. 228255, Censorship No. 228251;Numbers on the back: 2061, 13-11, 120 m, E-5-9, 17518-5;AZ",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm; 17x12 cm; 17x12 cm; 17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-031.tif;701-151-005-2516-045.tif;701-151-005-2516-046.tif,701-151-005-2516-031,Training of the Parachute Brigade (5),,,Author,"World War (1939-1945);Swimming;Military uniforms;Military training camps;Rifles;Parachute troops;Physical education and training, Military",,"Poland. Polskie Siły Zbrojne;Great Britain. Army. Polish Parachute Brigade, 1st",Scotland--Tay River,1939/1945,,1944,"Swiatpol, Polish Press Agency, Republic of Poland, Ministry of Information, Photo Service",,Land and water training of the parachute troops. Photos 031 and 045 show the soldiers training in a river. A soldier is climbing a cliff in photo 041.,"Censorship No. 164719, Censorship No. 164718 (crossed out), Censorship No. 228236;No. 783, No. 524;Numbers on the back: 17518-9, 3, E-5-8",still image,photographs,black-and-white photographs,10x13 cm; 17x12 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-001.tif;701-151-005-2516-002.tif;701-151-005-2516-004.tif;701-151-005-2516-005.tif;701-151-005-2516-006.tif;701-151-005-2516-007.tif,701-151-005-2516-001,Training of the Parachute Brigade (4),,,Author,World War (1939-1945);Parachutes;Parachute troops;Airplanes,,"Poland. Polskie Siły Zbrojne;Great Britain. Army. Polish Parachute Brigade, 1st",,1939/1945,,1944,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Republic of Poland, Ministry of Information, Photo Service, ACME NEWSPICTURES, .Inc.",,The photos show parachute troops jumping out of airplanes. The soldiers float through the sky with their parachutes open.,"Numbers on the back: 48, 49 (crossed out), 50 (darkened out), 21., 1220;23 JUN 1943 (Censorship Date);Boguslawski pplk. dypl. - Lt. Col.;AZ;Please Credit ""Acme Photo,"" THIS PICTURE IS SOLD TO YOU FOR YOUR PUBLICATION ONLY AND MUST NOT BE LOANED, SYNDICATED, OR USED FOR ADVERTISING PURPOSES WITHOUT WRITTEN PERMISSION FROM US.;No. 791, No. 792, No. 793, No. 794;Censorship No. 228245, Censorship No. 228243, Censorship No. 228246, Censorship No. 228249;Soldier Field",still image,photographs,black-and-white photographs,16x21 cm; 12x17 cm; 12x17 cm; 12x17 cm; 17x12 cm; 17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-008.tif;701-151-005-2516-009.tif;701-151-005-2516-011.tif;701-151-005-2516-015.tif;701-151-005-2516-016.tif,701-151-005-2516-008,Training of the Parachute Brigade (3),,,Author,World War (1939-1945);Parachute troops;Parachutes;Parachuting,,"Poland. Polskie Siły Zbrojne;Great Britain. Army. Polish Parachute Brigade, 1st",Great Britain,1939/1945,,1944,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,A demonstration of paratroop training. The first course of training is learning the correct way to land. This is taught by means of pupils jumping from a tower with the chute controlled by a cable. Pupils descending from the tower.,"Boguslawski pplk. dypl. - Lt. Col.;23 JUN 1943 (Censorship Date);Numbers on the back: 1220, 20. 9, 1., 839, N427, 4B-4, 72-89-T8-1189, 4B, 72-89-T8-1245, H14159;Censorship No. 228214;AZ;No. 790",still image,photographs,black-and-white photographs,17x12 cm; 12x9 cm; 17x12 cm; 13x10 cm; 15x21 cm; 15x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-010.tif;701-151-005-2516-012.tif;701-151-005-2516-013.tif;701-151-005-2516-014.tif;701-151-005-2516-021.tif,701-151-005-2516-010,Training of the Parachute Brigade (2),,,Author,Parachutes;Parachute troops;World War (1939-1945);Military uniforms;Military training camps,,"Poland. Polskie Siły Zbrojne;Great Britain. Army. Polish Parachute Brigade, 1st",Great Britain,1939/1945,,1944,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor, Wojskowe Biuro Propagandy i Oświaty, Sekcja Filmowo-Fotograficzna, Polish Army Film Unit, Foto Service, Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Polish Government Information Center",,The photos show the parachute troops landing on the ground. Their parachutes are still open as they land in a field.,"11 NOV 1942 (Censorship Date);Numbers on the back: 839, 2., 9, 8 (darkened out), 20128-1, 20128-2;AZ;Censorship No. 228223;No. 795;Boguslawski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,9x12 cm; 12x17 cm; 26x21 cm; 21x26 cm; 10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2516-017.tif;701-151-005-2516-018.tif;701-151-005-2516-019.tif;701-151-005-2516-020.tif,701-151-005-2516-017,Training of the Parachute Brigade (1),,,Author,World War (1939-1945);Airplanes;Military uniforms;Training camp;Parachutes;Parachute troops,,"Great Britain. Army. Polish Parachute Brigade, 1st;Poland. Polskie Siły Zbrojne",Great Britain,1939/1945,,1944,"Republic of Poland, Ministry of Information, Photo Service",,Parachute troop training. Photo 017 show soldiers preparing a parachute. Soldiers are walking toward a plane in photo 018. Photo 019 shows the parachute troops boarding a plane. The soldiers are being spoken to in photo 020.,"No. 785, No. 787, No. 789, No. 788;Censorship No. 228232, Censorship No. 228220, Censorship No. 228217, Censorship No. 228252;AZ",still image,photographs,black-and-white photographs,17x12 cm; 12x17 cm; 17x12 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
